epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
26,5075,,,0.9466458559036255,,0.19978712499141693,,
27,5099,,,,0.96484375,,,
27,5149,,,,0.9453125,,,
27,5199,,,,0.953125,,,
27,5249,,,,0.94140625,,,
27,5263,,,,,,0.9620000123977661,0.14874152839183807
27,5263,,,0.9458125233650208,,0.20090165734291077,,
28,5299,,,,0.9453125,,,
28,5349,,,,0.94921875,,,
28,5399,,,,0.9375,,,
28,5449,,,,0.96875,,,
28,5451,,,,,,0.9503333568572998,0.1907251924276352
28,5451,,,0.9475833177566528,,0.19523821771144867,,
29,5499,,,,0.93359375,,,
29,5549,,,,0.92578125,,,
29,5599,,,,0.921875,,,
29,5639,,,,,,0.953083336353302,0.17358806729316711
29,5639,,,0.9448333382606506,,0.20057281851768494,,
30,5640,0.9539999961853027,0.173448383808136,,,,,
