epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8924999833106995,0.27799007296562195
0,44,,,0.8126087188720703,,0.42007192969322205,,
1,49,,,,0.904296875,,,
1,89,,,,,,0.8914999961853027,0.28627437353134155
1,89,,,0.9222173690795898,,0.2076822817325592,,
2,99,,,,0.939453125,,,
2,134,,,,,,0.890500009059906,0.2926861047744751
2,134,,,0.9429130554199219,,0.15452268719673157,,
3,149,,,,0.9765625,,,
3,179,,,,,,0.8855000138282776,0.32389795780181885
3,179,,,0.9623043537139893,,0.11057688295841217,,
4,199,,,,0.98046875,,,
4,224,,,,,,0.8859999775886536,0.3479856550693512
4,224,,,0.9635217189788818,,0.1030152440071106,,
5,249,,,,0.98046875,,,
5,269,,,,,,0.8820000290870667,0.3918488025665283
5,269,,,0.9843913316726685,,0.056962255388498306,,
6,299,,,,0.990234375,,,
6,314,,,,,,0.8809999823570251,0.43965643644332886
6,314,,,0.9915217161178589,,0.03689388185739517,,
7,349,,,,0.9921875,,,
7,359,,,,,,0.8774999976158142,0.5103603005409241
7,359,,,0.995913028717041,,0.02211395464837551,,
8,399,,,,1.0,,,
8,404,,,,,,0.6959999799728394,1.6300427913665771
8,404,,,0.9890434741973877,,0.06232006475329399,,
9,449,,,,1.0,,,
9,449,,,,,,0.878000020980835,0.5114016532897949
9,449,,,0.9895217418670654,,0.05136307328939438,,
10,494,,,,,,0.8774999976158142,0.5803086161613464
10,494,,,0.9991739392280579,,0.007170078344643116,,
11,499,,,,1.0,,,
11,539,,,,,,0.8755000233650208,0.6309467554092407
11,539,,,0.9995217323303223,,0.004394098185002804,,
12,549,,,,1.0,,,
12,584,,,,,,0.8755000233650208,0.6808921098709106
12,584,,,0.9997391104698181,,0.0027611972764134407,,
13,599,,,,1.0,,,
13,629,,,,,,0.8730000257492065,0.7254005074501038
13,629,,,0.9998695850372314,,0.0017456643981859088,,
14,649,,,,1.0,,,
14,674,,,,,,0.8725000023841858,0.7702623009681702
14,674,,,0.9999565482139587,,0.0011328596156090498,,
15,699,,,,1.0,,,
15,719,,,,,,0.8715000152587891,0.8140583634376526
15,719,,,1.0,,0.0007451463607139885,,
16,749,,,,1.0,,,
16,764,,,,,,0.8725000023841858,0.8581622838973999
16,764,,,1.0,,0.0005101087735965848,,
17,799,,,,1.0,,,
17,809,,,,,,0.8725000023841858,0.8951026797294617
17,809,,,1.0,,0.0003532106929924339,,
18,849,,,,1.0,,,
18,854,,,,,,0.8709999918937683,0.9376635551452637
18,854,,,1.0,,0.00024945271434262395,,
19,899,,,,1.0,,,
19,899,,,,,,0.8715000152587891,0.9773524403572083
19,899,,,1.0,,0.0001746362540870905,,
20,944,,,,,,0.8705000281333923,1.022566556930542
20,944,,,1.0,,0.000121162629511673,,
21,949,,,,1.0,,,
21,989,,,,,,0.8700000047683716,1.0703548192977905
21,989,,,1.0,,8.425767737207934e-05,,
22,999,,,,1.0,,,
22,1034,,,,,,0.8709999918937683,1.11240816116333
22,1034,,,1.0,,5.9383361076470464e-05,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8705000281333923,1.1547702550888062
23,1079,,,1.0,,4.214597356622107e-05,,
24,1099,,,,1.0,,,
24,1124,,,,,,0.8705000281333923,1.1929372549057007
24,1124,,,1.0,,3.0142815376166254e-05,,
25,1149,,,,1.0,,,
25,1169,,,,,,0.8705000281333923,1.2319798469543457
25,1169,,,1.0,,2.1963593098917045e-05,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.8705000281333923,1.2716952562332153
26,1214,,,1.0,,1.6108404452097602e-05,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.8694999814033508,1.3089474439620972
27,1259,,,1.0,,1.194619107991457e-05,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8684999942779541,1.348293662071228
28,1304,,,1.0,,8.849081496009603e-06,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.8690000176429749,1.3831477165222168
29,1349,,,1.0,,6.6620359575608745e-06,,
30,1350,0.8611999750137329,1.4462296962738037,,,,,
